Nome,Qtd empresas,Estado,Codigo
Sao Roque,32,SP,355060
Cruzeiro,32,SP,351340
Sao Joaquim Da Barra,32,SP,354940
Gravatai,32,RS,430920
Juazeiro Do Norte,32,CE,230730
Juazeiro,32,BA,291840
Cachoeiro De Itapemirim,31,ES,320120
Santa Barbara D'Oeste,31,SP,354580
Santarem,31,PA,150680
Hortolandia,31,SP,351907
Tubarao,30,SC,421870
Cachoeira Do Sul,30,RS,430300
Itapevi,30,SP,352250
Adamantina,30,SP,350010
Sao Joao Da Boa Vista,29,SP,354910
Embu Das Artes,29,SP,351500
Poa,29,SP,353980
Pato Branco,29,PR,411850
Ferraz De Vasconcelos,28,SP,351570
Orlandia,28,SP,353430
Cachoeirinha,28,RS,430310
Votuporanga,28,SP,355710
Caratinga,28,MG,311340
Aracruz,28,ES,320060
Itapetininga,28,SP,352230
Araguaina,27,TO,170210
Rio Do Sul,27,SC,421480
Teresopolis,27,RJ,330580
Imperatriz,27,MA,210530
Tatui,27,SP,355400
Passos,27,MG,314790
Bebedouro,27,SP,350610
Camacari,27,BA,290570
Caceres,27,MT,510250
Cubatao,26,SP,351350
Jaguariuna,26,SP,352470
Itatiba,26,SP,352340
Sao Joao De Meriti,26,RJ,330510
Ituiutaba,26,MG,313420
Salto,26,SP,354520
Camaqua,25,RS,430350
Tramandai,25,RS,432160
Patos,25,PB,251080
Araras,25,SP,350330
Ji-Parana,25,RO,110012
Teixeira De Freitas,25,BA,293135
Lajeado,24,RS,431140
Barra Do Garcas,24,MT,510180
Tres Lagoas,24,MS,500830
Jequie,24,BA,291800
Mogi Mirim,24,SP,353080
Itapeva,24,SP,352240
Ibiruba,24,RS,431000
Santa Rosa,24,RS,431720
Tres De Maio,24,RS,432180
Santo Antonio De Jesus,24,BA,292870
Itabira,24,MG,313170
Pompeia,24,SP,354000
Amparo,23,SP,350190
Aruja,23,SP,350390
Pindamonhangaba,23,SP,353800
Rio Das Ostras,23,RJ,330452
Jatai,23,GO,521190
Itapema,23,SC,420830
Colatina,23,ES,320150
Medianeira,23,PR,411580
Ribeirao Pires,23,SP,354330
Muriae,22,MG,314390
Votorantim,22,SP,355700
Brusque,22,SC,420290
Tangara Da Serra,22,MT,510795
Biguacu,22,SC,420230
Linhares,22,ES,320320
Itumbiara,22,GO,521150
Joao Monlevade,22,MG,313620
Birigui,22,SP,350650
Brumado,22,BA,290460
Araguari,22,MG,310350
Monte Alto,22,SP,353130
Cornelio Procopio,21,PR,410640
Vilhena,21,RO,110030
Capivari,21,SP,351040
Timoteo,21,MG,316870
Telemaco Borba,21,PR,412710
Santa Luzia,21,MG,315780
Nova Lima,21,MG,314480
Jales,21,SP,352480
Patrocinio,21,MG,314810
Belford Roxo,21,RJ,330045
Arapiraca,21,AL,270030
Sao Joao Del Rei,21,MG,316250
Jandira,20,SP,352500
Lucas Do Rio Verde,20,MT,510525
Dracena,20,SP,351440
Paranagua,20,PR,411820
Itapecerica Da Serra,20,SP,352220
Eunapolis,20,BA,291072
Nilopolis,20,RJ,330320
Iturama,20,MG,313440
Araxa,20,MG,310400
Cabo Frio,20,RJ,330070
Uba,20,MG,316990
Ilheus,20,BA,291360
Itaborai,20,RJ,330190
Colombo,20,PR,410580
Campo Largo,19,PR,410420
Cajamar,19,SP,350920
Ijui,19,RS,431020
Santa Fe Do Sul,19,SP,354660
Serafina Correa,19,RS,432040
Paulista,19,PE,261070
Gurupi,19,TO,170950
Sao Sebastiao Do Paraiso,19,MG,316470
Barra Mansa,19,RJ,330040
Mineiros,19,GO,521310
Alfenas,19,MG,310160
Ceres,19,GO,520540
Sarandi,19,PR,412625
Concordia,19,SC,420430
Manhuacu,19,MG,313940
Teofilo Otoni,19,MG,316860
Pinhais,19,PR,411915
Garanhuns,19,PE,260600
Jaboticabal,18,SP,352430
